campaign_id,merchant_id,merchant_category,merchant_size,candidate_action_type,target_segment,discount_type,discount_value,proposed_budget,campaign_duration_days,channel,baseline_revenue_before,baseline_transactions_before,baseline_customers_before,baseline_aov,observed_lift_percent,observed_revenue_after,observed_roi,is_positive_growth,recommendation_score,is_observational_estimate,causal_guarantee_disclaimer,split
camp-0001,m-001,Food & Beverage,MICRO,EVENING_REVIVAL,Inactive Regulars (312 customers) + Evening commuters,FLAT,16.0,4200.0,10,WhatsApp Broadcast Only,308190.14,1292,581,238.54,27.2,392017.86,9.6,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0002,m-001,Food & Beverage,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,FLAT,50.0,3500.0,21,SMS + QR Standee at Counter,340988.07,1520,684,224.33,4.5,356332.53,0.34,0,30.7,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0003,m-002,Electronics,SMALL,CUSTOM,Dormant Regulars,PERCENTAGE,20.0,4200.0,7,SMS + QR Standee at Counter,298605.89,1309,589,228.12,13.1,337723.26,3.75,1,64.95,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0004,m-002,Electronics,SMALL,BASKET_SIZE_UPSELL,Dormant Regulars,PERCENTAGE,15.0,4200.0,10,Paytm App Geo-Fence Push,216718.69,1103,496,196.48,20.0,260062.43,6.4,1,92.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0005,m-002,Electronics,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,20.0,2500.0,10,WhatsApp Broadcast Only,220057.7,947,426,232.37,5.8,232821.05,0.35,0,33.35,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0006,m-002,Electronics,SMALL,CUSTOM,Evening Commuters,PERCENTAGE,10.0,1500.0,10,WhatsApp + SMS + Paytm Soundbox Banner,222324.19,1208,543,184.04,24.1,275904.32,9.34,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0007,m-003,Grocery,MEDIUM,WEEKEND_SURGE,Dormant Regulars,PERCENTAGE,20.0,5500.0,7,WhatsApp + SMS + Paytm Soundbox Banner,297664.08,1641,738,181.39,13.2,336955.74,8.82,1,90.5,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0008,m-003,Grocery,MEDIUM,WEEKEND_SURGE,Loyal Champions,PERCENTAGE,20.0,1500.0,10,SMS + QR Standee at Counter,319391.0,1746,785,182.93,29.9,414888.91,7.2,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0009,m-003,Grocery,MEDIUM,SEASONAL_SPECIAL,Weekend Shoppers,FLAT,50.0,1500.0,7,Paytm App Geo-Fence Push,268641.09,1335,600,201.23,25.3,336607.29,5.97,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0010,m-003,Grocery,MEDIUM,RETENTION_WINBACK,Weekend Shoppers,PERCENTAGE,25.0,4200.0,10,Paytm App Geo-Fence Push,232992.06,1226,551,190.04,26.3,294268.97,7.87,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0011,m-004,Fashion,SMALL,BASKET_SIZE_UPSELL,All Lapsed Customers,PERCENTAGE,30.0,5000.0,14,WhatsApp + SMS + Paytm Soundbox Banner,194693.3,999,449,194.89,3.2,200923.49,-0.45,0,24.15,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0012,m-004,Fashion,SMALL,WEEKEND_SURGE,All Lapsed Customers,PERCENTAGE,30.0,5000.0,21,WhatsApp Broadcast Only,233063.01,1167,525,199.71,3.2,240521.03,-0.45,0,24.15,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0013,m-005,Grocery,MICRO,RETENTION_WINBACK,Evening Commuters,PERCENTAGE,10.0,4200.0,21,WhatsApp Broadcast Only,192871.5,963,433,200.28,17.8,227202.63,9.65,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0014,m-005,Grocery,MICRO,CUSTOM,Weekend Shoppers,PERCENTAGE,20.0,7500.0,10,WhatsApp + SMS + Paytm Soundbox Banner,229282.18,1162,522,197.32,22.4,280641.39,4.61,1,87.85,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0015,m-006,Services,MICRO,CUSTOM,Loyal Champions,PERCENTAGE,15.0,2500.0,21,WhatsApp Broadcast Only,214017.31,1065,479,200.96,23.2,263669.33,4.87,1,90.75,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0016,m-006,Services,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,10.0,2500.0,21,WhatsApp Broadcast Only,348516.4,1733,779,201.11,5.5,367684.8,-0.34,0,29.3,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0017,m-006,Services,MICRO,CUSTOM,Weekend Shoppers,FLAT,50.0,3500.0,7,Paytm App Geo-Fence Push,349909.1,1427,642,245.21,17.1,409743.56,7.99,1,94.15,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0018,m-007,Electronics,MEDIUM,CUSTOM,Dormant Regulars,PERCENTAGE,15.0,7500.0,14,WhatsApp Broadcast Only,233251.39,1153,518,202.3,23.6,288298.72,7.43,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
