product_id,merchant_id,sku,product_name,category,price,cost,active_status,created_at,scenario_flag
p-0001,m-001,SKU-FOO-0001,Special Masala Chai,Food & Beverage,35.57,21.34,True,2024-01-10 10:00:00,NONE
p-0002,m-001,SKU-FOO-0002,Ginger Lemon Tea,Food & Beverage,36.39,21.83,True,2024-01-10 10:00:00,NONE
p-0003,m-001,SKU-FOO-0003,Kullad Chai,Food & Beverage,55.47,32.17,True,2024-01-10 10:00:00,NONE
p-0004,m-001,SKU-FOO-0004,Filter Coffee,Food & Beverage,50.53,27.79,True,2024-01-10 10:00:00,NONE
p-0005,m-001,SKU-FOO-0005,Fresh Bun Maska,Food & Beverage,37.64,23.34,True,2024-01-10 10:00:00,NONE
p-0006,m-001,SKU-FOO-0006,Crispy Samosa (2 pcs),Food & Beverage,35.19,22.87,True,2024-01-10 10:00:00,NONE
p-0007,m-001,SKU-FOO-0007,Paneer Pakora Platter,Food & Beverage,130.62,71.84,True,2024-01-10 10:00:00,NONE
p-0008,m-001,SKU-FOO-0008,Chole Bhature,Food & Beverage,113.18,65.64,True,2024-01-10 10:00:00,NONE
p-0009,m-001,SKU-FOO-0009,Veg Grilled Sandwich,Food & Beverage,61.38,36.83,True,2024-01-10 10:00:00,NONE
p-0010,m-001,SKU-FOO-0010,Cold Coffee with Ice Cream,Food & Beverage,122.62,67.44,True,2024-01-10 10:00:00,NONE
p-0011,m-001,SKU-FOO-0011,Poha with Sev,Food & Beverage,47.84,31.1,True,2024-01-10 10:00:00,NONE
p-0012,m-001,SKU-FOO-0012,Aloo Paratha with Butter,Food & Beverage,83.22,51.6,True,2024-01-10 10:00:00,NONE
p-0013,m-001,SKU-FOO-0013,Evening Chai Combo Platter,Food & Beverage,89.51,51.92,True,2024-01-10 10:00:00,NONE
p-0014,m-001,SKU-FOO-0014,Weekend Family Chai Pot,Food & Beverage,142.3,79.69,True,2024-01-10 10:00:00,NONE
p-0015,m-002,SKU-ELE-0015,Fast USB-C Charging Cable,Electronics,377.97,170.09,True,2024-02-15 11:30:00,NONE
p-0016,m-002,SKU-ELE-0016,10000mAh Power Bank,Electronics,1040.98,676.64,True,2024-02-15 11:30:00,NONE
p-0017,m-002,SKU-ELE-0017,Wireless Bluetooth Neckband,Electronics,1485.43,816.99,True,2024-02-15 11:30:00,NONE
p-0018,m-002,SKU-ELE-0018,Tempered Glass & Phone Case,Electronics,237.28,83.05,True,2024-02-15 11:30:00,NONE
p-0019,m-002,SKU-ELE-0019,Smartwatch with Health Monitor,Electronics,2972.2,1783.32,True,2024-02-15 11:30:00,NONE
p-0020,m-002,SKU-ELE-0020,20W Fast Wall Adapter,Electronics,401.92,221.06,True,2024-02-15 11:30:00,NONE
p-0021,m-002,SKU-ELE-0021,Wireless Earbuds with Mic,Electronics,2348.26,1361.99,True,2024-02-15 11:30:00,NONE
p-0022,m-002,SKU-ELE-0022,OTG Adapter & Memory Card 64GB,Electronics,426.03,276.92,True,2024-02-15 11:30:00,NONE
p-0023,m-003,SKU-GRO-0023,Basmati Rice (1kg),Grocery,93.99,79.89,True,2024-03-01 09:00:00,NONE
p-0024,m-003,SKU-GRO-0024,Chana Dal (1kg),Grocery,97.44,83.8,True,2024-03-01 09:00:00,NONE
p-0025,m-003,SKU-GRO-0025,Mustard Oil (1L),Grocery,166.0,146.08,True,2024-03-01 09:00:00,NONE
p-0026,m-003,SKU-GRO-0026,Aashirvaad Atta (5kg),Grocery,250.33,225.3,True,2024-03-01 09:00:00,NONE
p-0027,m-003,SKU-GRO-0027,Organic Desi Ghee (500ml),Grocery,409.29,319.25,True,2024-03-01 09:00:00,HIGH_GROWTH_PRODUCT
p-0028,m-003,SKU-GRO-0028,Tata Salt (1kg),Grocery,27.64,24.88,True,2024-03-01 09:00:00,NONE
p-0029,m-003,SKU-GRO-0029,Maggi 2-Min Noodles (Pack of 4),Grocery,57.37,50.49,True,2024-03-01 09:00:00,NONE
p-0030,m-003,SKU-GRO-0030,Britannia Good Day Biscuits,Grocery,32.96,28.02,True,2024-03-01 09:00:00,NONE
p-0031,m-003,SKU-GRO-0031,Amul Taaza Milk (1L),Grocery,64.31,59.17,True,2024-03-01 09:00:00,NONE
p-0032,m-003,SKU-GRO-0032,Organic Quinoa & Millets (500g),Grocery,312.84,203.35,True,2024-03-01 09:00:00,HIGH_GROWTH_PRODUCT
p-0033,m-003,SKU-GRO-0033,Cold-Pressed Mustard Oil (1L),Grocery,330.49,231.34,True,2024-03-01 09:00:00,NONE
p-0034,m-003,SKU-GRO-0034,Dry Fruits Gift Pack (500g),Grocery,636.95,477.71,True,2024-03-01 09:00:00,NONE
p-0035,m-004,SKU-FAS-0035,Cotton Printed Kurti,Fashion,781.69,390.85,True,2024-01-20 14:00:00,NONE
p-0036,m-004,SKU-FAS-0036,Men Casual Slim Shirt,Fashion,687.11,329.81,True,2024-01-20 14:00:00,NONE
p-0037,m-004,SKU-FAS-0037,Denim Jeans,Fashion,1789.15,894.58,True,2024-01-20 14:00:00,NONE
p-0038,m-004,SKU-FAS-0038,Embroidered Silk Saree,Fashion,3021.37,1359.62,True,2024-01-20 14:00:00,NONE
p-0039,m-004,SKU-FAS-0039,Leather Formal Belt,Fashion,482.75,265.51,True,2024-01-20 14:00:00,NONE
p-0040,m-004,SKU-FAS-0040,Cotton Anarkali Suit Set,Fashion,1721.89,860.95,True,2024-01-20 14:00:00,NONE
