campaign_id,merchant_id,campaign_type,campaign_name,target_segment,discount,discount_type,start_date,end_date,budget,spent_so_far,status,channel,created_at
camp-0001,m-001,EVENING_REVIVAL,Evening Combo Campaign (₹49 Special),Inactive Regulars (312 customers) + Evening commuters,16.0,FLAT,2025-12-10 00:00:00,2025-12-20 00:00:00,4200.0,3600.0,RUNNING,WhatsApp Broadcast Only,2025-12-10 00:00:00
camp-0002,m-001,BASKET_SIZE_UPSELL,Sharma Tea Corner Basket Size Upsell,Weekend Shoppers,50.0,FLAT,2025-10-02 00:00:00,2025-10-23 00:00:00,3500.0,3500.0,COMPLETED,SMS + QR Standee at Counter,2025-10-02 00:00:00
camp-0003,m-002,CUSTOM,Gupta Electronics & Mobile Custom,Dormant Regulars,20.0,PERCENTAGE,2026-03-17 00:00:00,2026-03-24 00:00:00,4200.0,4200.0,COMPLETED,SMS + QR Standee at Counter,2026-03-17 00:00:00
camp-0004,m-002,BASKET_SIZE_UPSELL,Gupta Electronics & Mobile Basket Size Upsell,Dormant Regulars,15.0,PERCENTAGE,2026-04-16 00:00:00,2026-04-26 00:00:00,4200.0,4200.0,COMPLETED,Paytm App Geo-Fence Push,2026-04-16 00:00:00
camp-0005,m-002,CUSTOM,Gupta Electronics & Mobile Custom,Loyal Champions,20.0,PERCENTAGE,2026-04-18 00:00:00,2026-04-28 00:00:00,2500.0,2500.0,COMPLETED,WhatsApp Broadcast Only,2026-04-18 00:00:00
camp-0006,m-002,CUSTOM,Gupta Electronics & Mobile Custom,Evening Commuters,10.0,PERCENTAGE,2025-12-07 00:00:00,2025-12-17 00:00:00,1500.0,1500.0,COMPLETED,WhatsApp + SMS + Paytm Soundbox Banner,2025-12-07 00:00:00
camp-0007,m-003,WEEKEND_SURGE,Annapurna Fresh Kirana Weekend Surge,Dormant Regulars,20.0,PERCENTAGE,2026-02-26 00:00:00,2026-03-05 00:00:00,5500.0,5500.0,COMPLETED,WhatsApp + SMS + Paytm Soundbox Banner,2026-02-26 00:00:00
camp-0008,m-003,WEEKEND_SURGE,Annapurna Fresh Kirana Weekend Surge,Loyal Champions,20.0,PERCENTAGE,2026-01-16 00:00:00,2026-01-26 00:00:00,1500.0,1500.0,COMPLETED,SMS + QR Standee at Counter,2026-01-16 00:00:00
camp-0009,m-003,SEASONAL_SPECIAL,Annapurna Fresh Kirana Seasonal Special,Weekend Shoppers,50.0,FLAT,2026-04-25 00:00:00,2026-05-02 00:00:00,1500.0,1500.0,COMPLETED,Paytm App Geo-Fence Push,2026-04-25 00:00:00
camp-0010,m-003,RETENTION_WINBACK,Annapurna Fresh Kirana Retention Winback,Weekend Shoppers,25.0,PERCENTAGE,2026-03-26 00:00:00,2026-04-05 00:00:00,4200.0,4200.0,COMPLETED,Paytm App Geo-Fence Push,2026-03-26 00:00:00
camp-0011,m-004,BASKET_SIZE_UPSELL,Mehra Silk & Ethnic Sarees Flat Clearance Push,All Lapsed Customers,30.0,PERCENTAGE,2026-06-07 00:00:00,2026-06-21 00:00:00,5000.0,5000.0,COMPLETED,WhatsApp + SMS + Paytm Soundbox Banner,2026-06-07 00:00:00
camp-0012,m-004,WEEKEND_SURGE,Mehra Silk & Ethnic Sarees Flat Clearance Push,All Lapsed Customers,30.0,PERCENTAGE,2025-12-03 00:00:00,2025-12-24 00:00:00,5000.0,5000.0,COMPLETED,WhatsApp Broadcast Only,2025-12-03 00:00:00
camp-0013,m-005,RETENTION_WINBACK,Sharma Organic Farm Retention Winback,Evening Commuters,10.0,PERCENTAGE,2025-11-13 00:00:00,2025-12-04 00:00:00,4200.0,4200.0,COMPLETED,WhatsApp Broadcast Only,2025-11-13 00:00:00
camp-0014,m-005,CUSTOM,Sharma Organic Farm Custom,Weekend Shoppers,20.0,PERCENTAGE,2025-10-09 00:00:00,2025-10-19 00:00:00,7500.0,7500.0,COMPLETED,WhatsApp + SMS + Paytm Soundbox Banner,2025-10-09 00:00:00
camp-0015,m-006,CUSTOM,Gupta Repair Lab Custom,Loyal Champions,15.0,PERCENTAGE,2026-01-15 00:00:00,2026-02-05 00:00:00,2500.0,2500.0,COMPLETED,WhatsApp Broadcast Only,2026-01-15 00:00:00
camp-0016,m-006,BASKET_SIZE_UPSELL,Gupta Repair Lab Basket Size Upsell,Weekend Shoppers,10.0,PERCENTAGE,2026-05-25 00:00:00,2026-06-15 00:00:00,2500.0,2500.0,COMPLETED,WhatsApp Broadcast Only,2026-05-25 00:00:00
camp-0017,m-006,CUSTOM,Gupta Repair Lab Custom,Weekend Shoppers,50.0,FLAT,2026-04-14 00:00:00,2026-04-21 00:00:00,3500.0,3500.0,COMPLETED,Paytm App Geo-Fence Push,2026-04-14 00:00:00
camp-0018,m-007,CUSTOM,Sharma ElectroHub Custom,Dormant Regulars,15.0,PERCENTAGE,2026-08-22 00:00:00,2026-09-05 00:00:00,7500.0,7500.0,COMPLETED,WhatsApp Broadcast Only,2026-08-22 00:00:00
camp-0019,m-007,EVENING_REVIVAL,Sharma ElectroHub Evening Revival,Loyal Champions,20.0,PERCENTAGE,2025-11-17 00:00:00,2025-12-01 00:00:00,3500.0,3500.0,COMPLETED,WhatsApp + SMS + Paytm Soundbox Banner,2025-11-17 00:00:00
camp-0020,m-007,SEASONAL_SPECIAL,Sharma ElectroHub Seasonal Special,Loyal Champions,20.0,PERCENTAGE,2026-04-11 00:00:00,2026-04-18 00:00:00,1500.0,1500.0,COMPLETED,SMS + QR Standee at Counter,2026-04-11 00:00:00
camp-0021,m-008,CUSTOM,Singh Boutique Custom,Loyal Champions,15.0,PERCENTAGE,2026-01-01 00:00:00,2026-01-22 00:00:00,5500.0,5500.0,COMPLETED,SMS + QR Standee at Counter,2026-01-01 00:00:00
camp-0022,m-008,CUSTOM,Singh Boutique Custom,Weekend Shoppers,49.0,FLAT,2025-11-02 00:00:00,2025-11-09 00:00:00,4200.0,4200.0,COMPLETED,SMS + QR Standee at Counter,2025-11-02 00:00:00
camp-0023,m-009,CUSTOM,Rao Chai Shai Custom,Loyal Champions,25.0,PERCENTAGE,2025-11-01 00:00:00,2025-11-15 00:00:00,7500.0,7500.0,COMPLETED,SMS + QR Standee at Counter,2025-11-01 00:00:00
camp-0024,m-009,CUSTOM,Rao Chai Shai Custom,Weekend Shoppers,20.0,PERCENTAGE,2026-05-28 00:00:00,2026-06-07 00:00:00,2500.0,2500.0,COMPLETED,SMS + QR Standee at Counter,2026-05-28 00:00:00
camp-0025,m-010,WEEKEND_SURGE,Nair Bakes Weekend Surge,Evening Commuters,25.0,PERCENTAGE,2026-06-15 00:00:00,2026-06-22 00:00:00,3500.0,3500.0,COMPLETED,WhatsApp + SMS + Paytm Soundbox Banner,2026-06-15 00:00:00
camp-0026,m-010,WEEKEND_SURGE,Nair Bakes Weekend Surge,Weekend Shoppers,10.0,PERCENTAGE,2026-04-18 00:00:00,2026-04-28 00:00:00,1500.0,1500.0,COMPLETED,WhatsApp Broadcast Only,2026-04-18 00:00:00
camp-0027,m-011,EVENING_REVIVAL,Verma Rasoi Evening Revival,Dormant Regulars,20.0,PERCENTAGE,2026-03-10 00:00:00,2026-03-24 00:00:00,3500.0,3500.0,COMPLETED,Paytm App Geo-Fence Push,2026-03-10 00:00:00
camp-0028,m-011,SEASONAL_SPECIAL,Verma Rasoi Seasonal Special,Loyal Champions,20.0,PERCENTAGE,2026-07-22 00:00:00,2026-08-12 00:00:00,2500.0,2500.0,COMPLETED,Paytm App Geo-Fence Push,2026-07-22 00:00:00
camp-0029,m-011,BASKET_SIZE_UPSELL,Verma Rasoi Basket Size Upsell,Weekend Shoppers,50.0,FLAT,2026-02-05 00:00:00,2026-02-26 00:00:00,1500.0,1500.0,COMPLETED,WhatsApp + SMS + Paytm Soundbox Banner,2026-02-05 00:00:00
camp-0030,m-012,RETENTION_WINBACK,Singh Glow Herbal Retention Winback,Loyal Champions,50.0,FLAT,2026-08-09 00:00:00,2026-08-23 00:00:00,5500.0,5500.0,COMPLETED,WhatsApp Broadcast Only,2026-08-09 00:00:00
camp-0031,m-012,CUSTOM,Singh Glow Herbal Custom,Evening Commuters,49.0,FLAT,2026-03-24 00:00:00,2026-04-07 00:00:00,3500.0,3500.0,COMPLETED,WhatsApp Broadcast Only,2026-03-24 00:00:00
camp-0032,m-012,SEASONAL_SPECIAL,Singh Glow Herbal Seasonal Special,Dormant Regulars,25.0,PERCENTAGE,2025-10-25 00:00:00,2025-11-15 00:00:00,4200.0,4200.0,COMPLETED,Paytm App Geo-Fence Push,2025-10-25 00:00:00
camp-0033,m-013,CUSTOM,Shah Boutique Custom,Weekend Shoppers,25.0,PERCENTAGE,2026-07-26 00:00:00,2026-08-02 00:00:00,4200.0,4200.0,COMPLETED,SMS + QR Standee at Counter,2026-07-26 00:00:00
